system,skill_alignment,viewer_agency,stability
percent,0.3103008735505412,0.6613388256815534,0.7218945963250034
rank,0.5056210108019427,0.48963933433792417,0.5515420067652561
rank_save,0.5056210108019427,0.30706920490363165,0.49358127994457046
