factor,n_eliminations,mean_p_wrongful,median_p_wrongful,std_p_wrongful,mean_interval_width,median_interval_width,degenerate_pct,definite_wrongful,definite_correct,uncertain
0.0,48,0.73103125,0.737,0.15790164614000515,1.0,1.0,100.0,5,0,43
0.08,48,0.7529166914730608,0.7512096774193548,0.21882419995467375,0.9267213793151293,0.9242222222222223,2.083333333333333,12,1,35
0.1,48,0.7783650271512115,0.8655,0.2528592086979623,0.9078681286884412,0.9052777777777777,0.0,18,2,28
0.12,48,0.8129166666666667,0.9185,0.25486016886473034,0.8894417544261294,0.8863333333333334,0.0,22,2,24
0.15,48,0.8102812500000001,0.907,0.2569772923623674,0.8616442346715786,0.8565340909090909,0.0,22,1,25
0.2,48,0.7800181942355767,1.0,0.34056989435424023,0.8163093763875015,0.8095454545454546,0.0,26,6,16
