season,week,pageviews,celebrity_name,wiki_title
22,4,3358,Kim Fields,Kim Fields
22,5,7929,Kim Fields,Kim Fields
22,6,72209,Kim Fields,Kim Fields
22,7,25748,Kim Fields,Kim Fields
22,10,34929,Kim Fields,Kim Fields
22,11,12646,Kim Fields,Kim Fields
22,12,72667,Kim Fields,Kim Fields
22,13,29516,Kim Fields,Kim Fields
22,16,100443,Kim Fields,Kim Fields
