season,week,pageviews,celebrity_name,wiki_title
22,4,7596,Wanya Morris,Wanya Morris
22,5,6874,Wanya Morris,Wanya Morris
22,6,28350,Wanya Morris,Wanya Morris
22,7,11749,Wanya Morris,Wanya Morris
22,10,15707,Wanya Morris,Wanya Morris
22,11,93651,Wanya Morris,Wanya Morris
22,12,23243,Wanya Morris,Wanya Morris
22,13,10250,Wanya Morris,Wanya Morris
22,16,31087,Wanya Morris,Wanya Morris
