season,week,pageviews,celebrity_name,wiki_title
22,4,3872,Doug Flutie,Doug Flutie
22,5,11435,Doug Flutie,Doug Flutie
22,6,108412,Doug Flutie,Doug Flutie
22,7,45821,Doug Flutie,Doug Flutie
22,10,14892,Doug Flutie,Doug Flutie
22,11,14119,Doug Flutie,Doug Flutie
22,12,130229,Doug Flutie,Doug Flutie
22,13,51975,Doug Flutie,Doug Flutie
22,16,151961,Doug Flutie,Doug Flutie
