season,week,pageviews,celebrity_name,wiki_title
22,4,4112,Von Miller,Von Miller
22,5,8140,Von Miller,Von Miller
22,6,70963,Von Miller,Von Miller
22,7,21383,Von Miller,Von Miller
22,10,33161,Von Miller,Von Miller
22,11,13156,Von Miller,Von Miller
22,12,43589,Von Miller,Von Miller
22,13,38498,Von Miller,Von Miller
22,16,54182,Von Miller,Von Miller
