season,week,pageviews,celebrity_name,wiki_title
22,4,7899,Antonio Brown,Antonio Brown
22,5,11384,Antonio Brown,Antonio Brown
22,6,101054,Antonio Brown,Antonio Brown
22,7,20891,Antonio Brown,Antonio Brown
22,10,29668,Antonio Brown,Antonio Brown
22,11,61746,Antonio Brown,Antonio Brown
22,12,39083,Antonio Brown,Antonio Brown
22,13,19815,Antonio Brown,Antonio Brown
22,16,34479,Antonio Brown,Antonio Brown
