season,week,pageviews,celebrity_name,wiki_title
22,4,14599,Ginger Zee,Ginger Zee
22,5,54715,Ginger Zee,Ginger Zee
22,6,69114,Ginger Zee,Ginger Zee
22,7,27830,Ginger Zee,Ginger Zee
22,10,31851,Ginger Zee,Ginger Zee
22,11,77008,Ginger Zee,Ginger Zee
22,12,56307,Ginger Zee,Ginger Zee
22,13,37837,Ginger Zee,Ginger Zee
22,16,82757,Ginger Zee,Ginger Zee
