season,week,air_date,air_date_source
22,4,2016-05-23,wikipedia_week_date_table
22,5,2016-05-24,wikipedia_week_date_table
22,6,2016-04-11,wikipedia_week_date_table
22,7,2016-04-25,wikipedia_week_date_table
22,10,2016-05-02,wikipedia_week_date_table
22,11,2016-05-16,wikipedia_week_date_table
22,12,2016-03-28,wikipedia_week_date_table
22,13,2016-04-18,wikipedia_week_date_table
22,16,2016-03-21,wikipedia_week_date_table
