season,week,air_date,air_date_source
14,1,2012-04-23,wikipedia_week_date_table
14,2,2012-03-19,wikipedia_week_date_table
14,3,2012-04-02,wikipedia_week_date_table
14,4,2012-04-03,wikipedia_week_date_table
14,5,2012-04-10,wikipedia_week_date_table
14,6,2012-03-27,wikipedia_week_date_table
14,7,2012-05-08,wikipedia_week_date_table
14,8,2012-05-15,wikipedia_week_date_table
